요일,층,코너,식사,메뉴,가격
월,상록원1층,메뉴1,중석식,,6000
월,상록원1층,메뉴1,중석식,,6500
월,상록원1층,메뉴1,중석식,,6500
월,상록원1층,메뉴1,중석식,,6500
월,상록원1층,메뉴1,중석식,,6500
월,상록원1층,메뉴1,중석식,냉모밀,5000
월,상록원1층,메뉴1,중석식,냉모밀*돈가스set,6500
월,상록원1층,메뉴1,중석식,냉모밀*알밥set,
월,상록원1층,메뉴1,중석식,데리야끼치킨솥밥,5000
월,상록원1층,메뉴1,중석식,"삼겹-돼지:네덜란드산/닭:국내산/소:미국산/스팸-돼지:국내산,외국산/돈가스-돼지:국내산/수육국밥-돈사골:국내산,돼지:외국산/쌀:국내산/배추김치-배추,고춧가루:국내산",
월,상록원1층,메뉴1,중석식,삼겹살김치철판,
월,상록원1층,메뉴1,중석식,수육국밥,
월,상록원1층,메뉴1,중석식,우삼겹솥밥,
월,상록원1층,메뉴1,중석식,치즈불닭철판,
월,상록원3층,집밥,석식,두부조림,
월,상록원3층,집밥,석식,배추김치,
월,상록원3층,집밥,석식,삼겹살오븐구이&부추무침,
월,상록원3층,집밥,석식,샐러드,
월,상록원3층,집밥,석식,오이깍둑무침,
월,상록원3층,집밥,석식,차돌고추장찌개,
월,상록원3층,집밥,석식,"￦ 7,000",
월,상록원3층,집밥,중식,들깨무나물,
월,상록원3층,집밥,중식,배추김치,
월,상록원3층,집밥,중식,샐러드,
월,상록원3층,집밥,중식,쭈삼불고기덮밥,
월,상록원3층,집밥,중식,통새우볼튀김,
월,상록원3층,집밥,중식,"￦ 7,000",
화,상록원1층,메뉴1,중석식,,6000
화,상록원1층,메뉴1,중석식,,6500
화,상록원1층,메뉴1,중석식,,6500
화,상록원1층,메뉴1,중석식,,6500
화,상록원1층,메뉴1,중석식,,6500
화,상록원1층,메뉴1,중석식,냉모밀,5000
화,상록원1층,메뉴1,중석식,냉모밀*돈가스set,6500
화,상록원1층,메뉴1,중석식,냉모밀*알밥set,
화,상록원1층,메뉴1,중석식,데리야끼치킨솥밥,5000
화,상록원1층,메뉴1,중석식,"삼겹-돼지:네덜란드산/닭:국내산/소:미국산/스팸-돼지:국내산,외국산/돈가스-돼지:국내산/수육국밥-돈사골:국내산,돼지:외국산/쌀:국내산/배추김치-배추,고춧가루:국내산",
화,상록원1층,메뉴1,중석식,삼겹살김치철판,
화,상록원1층,메뉴1,중석식,수육국밥,
화,상록원1층,메뉴1,중석식,우삼겹솥밥,
화,상록원1층,메뉴1,중석식,치즈불닭철판,
화,상록원3층,집밥,석식,고사리나물,
화,상록원3층,집밥,석식,납작떡갈비구이,
화,상록원3층,집밥,석식,배추김치,
화,상록원3층,집밥,석식,샐러드,
화,상록원3층,집밥,석식,파채고추장삼겹살,
화,상록원3층,집밥,석식,"￦ 7,000",
화,상록원3층,집밥,중식,도토리묵무침,
화,상록원3층,집밥,중식,배추김치,
화,상록원3층,집밥,중식,불고기열무비빔밥,
화,상록원3층,집밥,중식,샐러드,
화,상록원3층,집밥,중식,치킨까스,
화,상록원3층,집밥,중식,"￦ 7,000",
수,상록원1층,메뉴1,중석식,,6000
수,상록원1층,메뉴1,중석식,,6500
수,상록원1층,메뉴1,중석식,,6500
수,상록원1층,메뉴1,중석식,,6500
수,상록원1층,메뉴1,중석식,,6500
수,상록원1층,메뉴1,중석식,냉모밀,5000
수,상록원1층,메뉴1,중석식,냉모밀*돈가스set,6500
수,상록원1층,메뉴1,중석식,냉모밀*알밥set,
수,상록원1층,메뉴1,중석식,데리야끼치킨솥밥,5000
